dataset_row,text,class
45,Bitches be in they feelings to much like live bitch,1
46,No summer school? &#128515;&#128515;&#128515;&#128515;&#128515;&#128515;&#128515;&#128515;&#128515;&#128515;&#128515;&#128515;&#128515;&#128515;&#128515;&#128515;&#128515;&#128515;&#128515;&#128515;&#128515;&#128515;&#128515;&#128515;&#128515;&#128515;&#128515;&#128515;&#128515;&#128515;&#128515;&#128515;&#128515;&#128515;&#128515;&#128515;&#128515;&#128515;&#128515;&#128515;&#128515;&#128515;&#128515;&#128515;&#128515;&#128515;&#128515;&#128515;&#128515;&#128515;&#128515;&#128515;&#128515;&#128515;&#128515;&#128515;&#128515;&#128515;&#128515;&#128515;&#128515;&#128515;&#128515;&#128515;&#128515; eat a dick school. Im done with your bitch ass !!!!!!,1
47,Matt got the shades on tryin to scope a bitch http://t.co/Ywaq3Hg0WF,1
48,RT @fucktheseHOES__: Hate a bitch that run her mouth .,1
49,RT @TeamGladney: Did the Yankees make the playoffs and properly honor Jeter? RT @80sbaby4life: Orioles win?,0
50,Niggas who stand in line for Jays mad at me now. ehh fuck you. I pull hoes nd stunt without em on,1
51,Fuck niggah add it up..&gt;&gt;&gt;,1
52,@GirlThatsVonte lol nahh bitch dont put yo life on me ole cant drink water after 8 ass nigga #PissinInDaBedAssBoy,1
53,Climate change is real and we need to act now,0
54,RT @Kimburrleeeanne: Loyalty is not dead. Gtfo. Don't marginalize me bitch.,1
55,Told ya months ago Charlie wasn't bullshittin.. Bevo is next,1
56,RT @cthagod: Congress really is acting like a bunch of bitter bitches.You can't continue to refight an election you lost.Obama is President&#8230;,1
57,Real Niggas and Bad bitches have 2 things in common. You're both ignorant as fuck &amp; neither of you know that you're Kings and Queens.,1
58,fat bitches fat bitches heeeey,2
59,RT @king_daddy001: That bitch got a red COOTCHEE rover and shit &#128514;&#128514;&#128514;&#128514;&#128514; @erykahminor_,1
60,RT @StayLiftedd_: Anxiety is a bitch,1
61,"@DestroTheNoble @nekolin purple &amp; pink....for the faggots who want to be protected...by the police, instead of BEARING ARMS if need be!",2
62,RT @iAmYalanda: I need some phenomenal head. Like someone who was born and breed to eat pussy. Someone who is an adept when it cums to tong&#8230;,1
63,"@DolfyAdolf 
Y'all gots betta machinery fo dat. Hanger be ghetto",0
64,"RT @NoBeeetch: *comes home late*

Bae: Was her pussy good

Me: Whos &#128517;

Bae: oh never mind http://t.co/iEc6bdqzoW",1
65,@justezzzee that nigga ain't no fucking champ he a straight up bitch who not bout shit # bitch made!,1
66,This store is SO redneck...,0
67,I'm so high high high that a bitch can't blow my high,1
68,@selina_dabbagh the song? About pollo hermanos and Heisenberg?,0
69,"@malachic1997 apparently this little pussy cant converse nevermind fight. Ive been blocked. 
Oh well youth gets frustrated easy.",1
70,RT @itsdavedude: cant just tell me anything bitch im one click away from google at all times,1
71,STFU BORIS FAGJO! RT @Maxin_Betha Cause he a faggot!! Makes sense now right?? RT @ChannyMaraj Bran prolly real nurturing lol,2
72,You're a bad bitch and I want you.,1
73,Fuck fight music bitch this is losing ya life music,1
74,RT @MemphisMSoccer: 50' 2nd yellow card issued for Temple,0
75,"the seamstress gon do/MOB Action in this bitch, u meaningless to da crew!",1
76,Wrote the absolute worst paper of my life last week and still got a B+. Gotta love taking freshman English #retards,1
77,@Jontel_20 &#128557; pussy,1
78,"Not ""us bitches"" &#128514;&#128514;&#128514;&#128514;&#128514;",1
79,@BigQuinn_Liam @RJ_Diego11 did you get your volcano yet faggot,1
80,"I like my bitches simple 
laid back relaxed your mental http://t.co/xyNGDzLDRb",1
81,@Coley_Cee @Campaign_Papi @They_CallMeShay lmaooo coley just whammmmed him add this to it swervee bitch,1
82,Y'all dumb bitches out here FUCKING UP,1
83,"RT @PriyaOhol: In Hopes of Recruiting More Women, ISIS Opens Jihadi Finishing School http://t.co/yKyFIJZgSI @aekulze @vocativ http://t.co/a&#8230;",0
84,"Okay, so maybe not every in #LosAngeles is evil. But I would 80% of the people I've encountered have been trash, another 10% barely human.",0
85,i aint letting no funds touching this piece of shit,1
86,OMG This bitch on the Tico wont STFU ALREADy!!!!,1
87,"Roses be red
Orchids be bigger 
Donts tell yo daddy
You fuckin a nigger 
#VDdie",2
88,@makenzies_mask ur a boss ass bitch,1
89,I didn't even get to see my baby today. Smh it's all my moms fault. Selfish bitch.,1
90,@moneydriven LOL such a nig,1
91,@PatriotsOrg Screw the ragheads.,2
92,"@Icy_Rapture more like

Look at all those bitches",1
93,"RT @breely216: The recommended serving size for brownies is ""all of them.""",0
94,I hate pumpkin flavored items you other white bitches are crazy they're nasty &#128567;,1
95,"If a nigca neva told you ""bitch you got some bomb azz puzzy"" kill yaself bitch http://t.co/CZXRV9to4A",1
96,"snow day bitches, lyrics gettin done n bud getting smoked #snowday2014",1
97,RT @WeLoveKi: Hol on bitch &#128553;&#128514;&#128557; https://t.co/RYESvYaI2u,1
98,Thanks for that text... I found that hoe..,1
99,her ass mann bro i can sit on her shit l&#128514;&#128514;&#128514; she walk by like i wasnt gone grab it bitch bye &#9996;&#65039;,1
100,"@JedZiggler I say it all the time same with fag and queer it's all about the context I suppose, some people are just looking to get offended",1
101,this is why i love birds. http://t.co/Gk2wiNhBkw,0
102,RT @ItsNotHarold: I've noticed that it mostly be the bitches whose hair don't even reach their shoulders that talk the most shit,1
103,Bad bitches is the only thing that like,1
104,"RT @TwitchyTeam: 'Worst tweet ever'? PR 'pro' manages to sound racist, mock AIDS in a single tweet http://t.co/0nTcWbrMMk",0
105,Is this hoe gone dm me back,1
106,RT @GeorgeCarlinSez: My uncle taught me abt sex. He said 'The birds fuck the bees.' Then he told me he banged a girl so hard her freckles c&#8230;,1
107,"RT @markhoppus: Yes, yes I know all about the FOB reconciliation. IT WAS MY IDEA! You're welcome.",0
108,After 27 weeks straight of that nigga being you MCM we get it bitch y'all fucking &#128514;&#128514;&#128514;&#128514;,1
109,RT @maddiedelahouss: It's Britney bitch. https://t.co/NafXa8PDpa,1
110,@King_Albert21 @Ceto_13 ha ha look what this fag said lol,1
111,RT @LuaBoo: &#8220;@uce_INA: Hazel e looks like a bird... Her and kaep prolly related by nose and shit&#8221; thats why Berg wont ever make her DAT BIT&#8230;,1
112,Pappadeaux bread with the scampi butter RT @_ChickenGeorge Her pussy tastes like? http://t.co/QFqYC7G7px,1
113,RT @__BrighterDays: I don't be worrying about these messy hood ass hoes but they worrying about me though. Why? &#128583;,1
114,Come her lil bitch I want that sloppy toppy,1
115,RT @taexchanae: momma dee ain't loyal. you ain't pose to tell his main bitch bout his side bitches &#128514;,1
116,"@Alicia112794 So basically you like the background music, fag.",2
117,RT @ClassicBray: Lmaoo RT @PacDaGoat: That's a legal tackle faggot RT @PP_Rich_Hill: Seriously? http://t.co/guMZewrpy3,2
118,Apparently not wanting to trade your Nitro M4 in CSGO makes you a collossal faggot.,1
119,RT @KingHorseDick: If he tell u that u got some good pussy but he never try to hit again.. what that mean?,1
120,@YvngHerbo @PRAYINFORGEMS sup fat bitch,1
121,RT @stepheeezyy: Rt *nigga *bitch *him &#8220;@187XO_: ' I will never date a female with another niggah name on her lol . Wtf .&#8221;,2
122,1 baby Momma no bitch no wife like PAC u need a thug in ya life,1
123,"Don't act all shy, bitch slop that up.",1
124,U bitches still fuccin bush,1
125,"RT @Cheddar85: Dudes taking ""selfies"" aint cute. .... ya pussies",1
126,niggas &amp; bitches dating ugly niggas &amp; hoes kuz they can trust em then they cheat w/ the elite hoes &amp; niggas ...&#128514;&#128514;&#128514;,1
127,"@WendyDavisTexas @GregAbbott_TX So you support ""illegals"" coming here and spreading disease among Americans Dream that bitch!",2
128,RT @Lyssaboo_23: You local ass bitch,1
129,@JustKarahn bye hoe,1
130,"Seen Glo eat a twat on stage watching that shit. And get eaten in the middle of a populated concourse, if I ain't mistaken...",1
131,"They wouldn't let me use my old picture cause my hair was flawless&#128129;. The woman at the front desk said I wouldn't have to retake, hatin' hoes",1
132,RT @bjs5555: ELECT Democratic Nominee Amos Powers @Powers2014 2 #Congress #TN6 DEFEAT TEA Diane Black #Red2Blue #TNTweeters #CIR http://t.c&#8230;,0
133,Bad Asian bitch yea she look just like Kemora,1
134,RT @ToyaMiani: The reason you called Jesus a monkey is because you knew he was not your color #Farrakhan#TheTime,2
135,&#9733; BEST ASIAN MASSAGE ON THE Brooklyn Park slope --TOP RATED SPA &#9733;718-622-0221 - 24 http://t.co/saWpjDtIGN,0
136,"&#8220;@JulianSantomaur: 5""0 with 30 hoes on my dick #sweg&#8221; you have learned from the best",1
137,I only fuck with bad bitches I'm stiff,1
138,some call me the song bird of my generation,0
139,RT @BrooklynKC23: @Vivalaquintaa yes I love her like pussy money weed,1
140,Scott brooks finds new ways to flip me the bird each game. I know it's the right move but #Idontcare #KDStreak #imsad,0
141,RT @CheefPolo: bitches love coming out in public naked &#8220;@ESPNDaniel: Don't do this &#8220;@basedlightskin: !!!! http://t.co/WgD3mNd55V&#8221;&#8221;,1
142,RT @KrisDaRebel: &#8220;@Aye_Benny: Searching for these hoes I got &#128533; http://t.co/DsdfEjI65U&#8221; you ain't the only one Bruh http://t.co/c7R3WRcPK0,1
143,Alcohol....drunk hoe &#171;@Mr__Rude i miss...&#187;,1
144,RT @CallMeRenee_: &#8220;@1inkkofrosess: @CallMeRenee_ &#128514;&#128514;&#128514;&#128553;&#9996;&#65039; my bad bitch im logged in on everybody shit&#8221;hell yeaa me too seen tiff just tweet f&#8230;,1
145,"RT @lnfIicted: im not ""shy"" or ""quiet"" im just chilling bitch",1
146,You you can't get no money silly hoe,1
147,"RT @agonyquotez: If i had a dollar for every bobby pin I've lost, I'd be one rich bitch",1
148,. @_HISTO requires soundcloud links and tumblr bitches; he MIGHT let you play his party then.,1
149,Only we would cut our best tight end and resign a trash nigga who can't make a play to save his life,1
150,DMV nigguh dress funny as hell,1
151,Never trust a bitch cause these bitches fuckin' anyone. Say you know a faithful bitch where she at? I Gotta get me one,1
152,Hats off to all hoodrat chicks from the ghetto who have anxiety attacks at formal events,1
153,do you think all the rice fags are at McDonald's?,2
154,bitches love Sosa so I guess I'll wear Sammy Sosa &#128527;&#128514;,1
155,Hahahaha manziel is a faggot and the browns will ruin him. Win win for me,1
156,If you ain't Stevie J's bitch of course you'll call him the scum of the earth.His bitches hooked while they're upset though.,1
157,These hoes be lying to all of us nigga I got news for the monogamous niggas yo bitch fucking anonymous niggas!!!,2
158,I'll let u clam on top and let dat nookie pop I'm in dat cookie jar I ain't no rookie girllll,0
159,where da ratchet hoes at?,1
160,"@ItsMander @kfc
You can always gets da colored folk back in da cage wit da KFC",2
161,"@reddroostermann &lt;- I poked this little pussy with a stick, and he curled up into a little ball like a pill bug. @fredseviltwin",1
162,I've seen #MajorLeauge with Charlie Sheen...........and the #Giants committed sin when they worshipped #barrybonds as a batting coach&gt;,0
163,RT @Say_Lil_Zack: Why y'all's ain't do nun when the fat bitch jumped on me! Yall a trip&#8252;&#65039;,1
164,RT @ATypicalFemaIe: when a bitch gets smart and I look too cute to be ratchet http://t.co/OoTtkUxKRA,1
165,I've eaten six packs of hello kitty fruit snacks today because I can bitch I'm an adult.,1
166,I love German. I wish Nansemonds bitch ass had it,1
167,Women can't do something called live life.Apparently that's being a hoe.,1
168,This girl is the nastiest skank bitch I've ever met. DO NOT TRUST HER. She is a fugly slut http://t.co/7sU1UIFUNS,1
169,bitch thats yo nigga &#128064; ....well you aint his bitch &#128514;&#128514;&#9996;&#65039;&#9996;&#65039;&#9996;&#65039;,1
170,RT @_CDiddy: Hate to break the news but u spam bro RT @MojoGreen1217: A dyke a tuck her titties in the winter and start calling herself Mr.&#8230;,1
171,"@TakingBackSunda @NYCGreenfield @lsarsour that's not how you resist, you worthless retard. Do you need a dictionary?",1
172,"""@soxdawg: RAWR!! RT @skinrubberboi: ""My"" sexy French scally. I love him! #frenchscally http://t.co/5idQ3R5Akz"" sexy scally woof woof",0
173,Sounded like a bitch but whatever,1
174,RT @LaVintageTribe: Getting all these checks like Nike I'm icy and yo bitch like me- dice soho &#127922;,1
175,"a bitch can have two black eyes, bloody lip, scalp bleeding, bruises, and a broken arm and still be like ""but i love him!"" lmao",1
176,@ChrisTrondsen @IM5band #askim5 would you rather drink squirrel pee or Johnny Depp's wig in Charlie and the Chocolate Factory?,0
177,"RT @Cluelessnigga: Fat hoes always wanna beef with somebody, yall don't need to be around no type of beef",1
178,"Do you have a nickname? What is it? &#8212; Tator, Tator tot, Tightey whitey, whitey Jr, Taylor whitey pants, agent ti... http://t.co/xLBhDJfBF4",0
179,RT @Mdizzle9000: this dumb bitch said....RT @MsVaVaVoom No matter what a man says the only way he'll truly respect you is if u hold out sex,1
180,Those faggots that keep posting gay ass videos of them cuddling with their gf's on Facebook.,1
181,@AwiLL_2RECKLESS bruh did go out like a bitch thoe lol that should not be his final match,1
182,"RT @ReverendGrim: God bless those delusional bitches still trying to keep ""duck face"" alive.",1
183,For such bold people confrontation seems to make bitches out of alot of you,1
184,@Cotton_Candy9 god wrote em now think again coon,1
185,RT @Choochieee_: If I can take your bitch was she ever really yours?,1
186,@caraabastow That's a cute and fuzzy one...hehehe ;),0
187,Hoes and dey hoe poses,1
188,"We're Bringing The Cadaver Dogs, Charlie Brown. #rejectedpeanutsspecials",0
189,Russel Martin had a miserable season but is quietly having a good September #Yankees #BlueJays #MLB,0
190,how ah yardie reach wyoming?? (live at http://t.co/8N9mI46CBU),0
191,"hey new followers *waving* welcome ion be talking bout shyt tho, just retarded ass thoughts that pop up in my head",1
192,"animal crackers are the fuckin bomb, yo",1
193,She a dyke if one side of her head is faded out,1
194,"Yaaaasss, bitch! RT @xtina: In more important news... &#127926; http://t.co/Z3b8XVHUty",1
195,"RT @nicoleyyrosiee: Remember in 2001 when the Yankees were in Boston and the crowd was cheering USA instead of ""Yankees suck"" I love baseba&#8230;",0
196,"RT @boujjhetto: When an irrelevant bitch dislikes u for no reason &#128133;
 http://t.co/sM1rsmOLEZ",1
197,Literally every man in my fam copped a bad white bitch as a wife. I ain't even boutta break da chain. Unless a latina comes around,2
198,RT @ScottLinnen: Saw a man in a yellow trench coat &amp; matching fedora with an iWatch. What a Dick.,1
199,Change the game on u bitches&#128526;,1
200,RT @olmelonhead: when bitches spread rumors about you ; &#128520; https://t.co/21wOvyB50m,1
201,slay me lolz jk bitch I'll cut you #EMABiggestFans1D,1
202,RT @Cocaine_Papii: If you don't make her go to sleep after y'all fucked then your pipe game trash,1
203,RT @BeyonceLand: Bey lost her ring at the Met Gala. Jay found it &amp; instead of just giving it back he gave it to her as a mock proposal http&#8230;,0
204,Yee boy my yung nicca told me dat waxx,0
205,Vegas in 4 days bitches.,1
206,RT @_DEROOO: &#8220;@ViriDoesItt: How I lose this sweet..&#8221;you ain't lose it you hide it lmfao Viri tryna smoke that hoe to his self,1
207,"you know what your doing when you favorite a tweet, tryna cheat ass bitch haha",1
208,"Your pussy hole must be small ""@SoNi99a_: the adjustment phase? RT @80sbaby4life Tf is ""gentle intercourse"" ....""",1
209,Just seen the baddest bitch in tower city... My heart just got warm &#128514;&#128514;&#128514;,1
210,@gundeathjournal @ackdoc @nra lax gun laws? Ur retarded. There's murder there bcuz no one can defend themselves. Only crooks have guns there,0
211,Ew I hate when ratchet ass hoes post 'stranger danger' ewww bitch,1
212,Summer hoes turning into winter wifeys &#128553;,1
213,@Benny_Balboa not to yall thou! Yalll fucking glad bag trash,1
214,She said pop can u make it rain I said bitch I'm a water bearer I bring da flood I'll make you drown,1
215,RT @DariusJulion: that movie was trash,0
216,RT @fvxxk: A female will automatically assume you have hoes if she finds you attractive. &#128543;,1
217,Lol that's some hoe shit,1
218,"RT @1goodlookingman: Bees won, Mets won, and the Yankees lost. It's a good day in baseball.",0
219,"Who the fuck puts a block of cheese in they room without a refrigerator ghetto ass niggas eases, like that's just the thing to do wrong.",1
220,"ya bitch aint bad nigga, you aint got no taste",1
221,@ThatSlutAdrian bring bitches,1
222,@Darth_Maxwell dude I was pissed but then looking at it I fucking died at least I'm the most yoked ape&#128517;&#128514;,1
223,Hmu talmbout match but when I pull up its 30 other niccas wit ya &#128530;,0
224,Got another nigga's bitch in my bed right now,1
225,RT @willgoes_ham: I love bad bitches that's my fuckin problem &#128527;,1
226,"Lawd, I got so many enemies,,, bitches I don't even know ..",1
227,@tsj_washington No matter how much you bitch and complain... America is in better shape to how Obama found it PERIOD,1
228,RT @SenorSteez: This whole week was trash,0
229,@AmirEldouh @jwheels3 Ali is a hoe for that,1
230,RT @L1LDebbie: Amber rose is everything at the vmas. Killen every bitch.,1
231,@mjs79 @ChingonAbe well he is at Genos. So he is the ultimate faggot,2
232,RT @s_bitchy: Bitches be fallin so Inlove w. Niggass &amp; then he go get a new bitch &amp; they try go get a new nigga to try to forget about the &#8230;,2
233,RT @__ashlaaay: Why does everybody drive like retards when it rains lol,1
234,U on the hit list to bitch kill yo self,1
235,"Got my own place , pay my own bills &amp; rent &amp; 2 jobs. Tf am I worried about a next bitch for?",1
236,"""Baby I like being on your left side"" no bitch you can't be there Cuz the street on that side and Twitter said I ain't real if you do",1
237,"this bitch sounds like she's gettin raped by other.cats lmfaoo the.fuckkkk closing the window, whore cats",1
238,"RT @TheMichaelRock: *answers phone*

Coworker: There's a dead bird outside.

Me: Wanna split it?

CW: What?

Me: Sorry, finders keepers, ri&#8230;",0
239,RT @AlaysiaMichelle: I just wanna get filthy rich &amp; have a nice big house full of bad bitches that I could fuck anytime I want &#128540;,1
240,Get your weak ass juco highlights off twitter hoe,1
241,RT @YBEToot: @UFUCKIN_RIGHT what hoes tho ? Lol.,1
242,Broke bitches that talk shit those the ones that I stunt for &#128526;,1
243,@MileyCyrus I want to suck your pussy,1
244,"Jennifer Lawrence's nudes sooooo trash. Im still smashin though, no doubt",2
245,Homeless people are homeless because of their own choices,1
246,@IamShady_ that's not even a real word! Must have hit a blunt and started making up shit with your nigger ass lol,2
247,She gonna pop that pussy for a real niggaa,1
248,man kills mother of 2 after she reveals she's hiv positive after having sex...that bitch deserved it,1
249,RT @Yes__We__Cam: Selfie game retarded http://t.co/HpLo9JaP9K,1
250,Thats not ya bitch if she dont love giving you head,1
251,"RT @JoeBudden: If u can&#8217;t deal w what we go thru&#8230;. Then I got bitches lined up, I got an ego too.",1
252,Y'all weird on here. Fake hoes for attention,1
253,She been a hoe all summer but soon as the fall weather hit she'll probably forget about all that and be a good girl again. That's the cycle,1
254,&amp;&amp; when Tha bitches start hating &#128553;&#128553;&#128129; that's wen a bitch lost me &#128588;&#128168;&#128591;&#128175;&#9996;&#65039;&#128581;&#128064;,1
255,RT @Yanoozaj: I hope LVG is homeless in a few years whilst Welbeck is scoring 30+ for Arsenal and fucking bitches,1
256,"@dish_answers 
You gots da BET and da MSNBC wit dat colored reverend who only listen to coloreds. What else I missing?",2
257,I know you seeeeen my faceeeee gon send a bitch maa wayyyy,1
258,Im trying to come back as a fine ass bitch next lifetime....,1
259,&#8220;@FREDOSANTANA300: Up making plays&#8221; can I have my slut bitch girlfriend u always rap about back yet?,1
260,RT @2AFight: Muslim Jihadi? Keep Calm and.... http://t.co/iW6HT090s8 #PJNET #tcot #tgdn #ccot #RedNationRising #teaparty #2A #NRA http://t.&#8230;,0
261,RT @ChicoFlicoFlame: Every super hero a bitch except iron man Peter Parker the biggest hoe loser ass nigga no bitches no cribs no whips,1
262,"RT @MetalHammer: Are you in London this evening? 
Well ex-Iron Maiden member, Tony Moor, will be busking outside Balham train station from &#8230;",0
263,Eattin all this pussy im startin to get chubby,1
264,I just whipped up these #homemade #pickled #eggs while home being a cripple... Made with #garlic&#8230; http://t.co/0xKFnW3luF,0
265,I'm about to start a bad bitch mentoring association bc GIRL YOURE A BAD BITCH DONT LET ANYBODY TELL YA OTHER WISE,1
266,I see a real nicca when I look in the mirror,1
267,Rihanna's Favorite Thing About White House Visits: 'My President Being Black' http://t.co/86zVJUzJLr #Solidarity Poking whitey-not wise..,1
268,How mich time the P O P Hold It Down nigga bitch catch?,1
269,If I smoke with ya bitch its over,1
270,RT @Liveitupjersey: @1SleepingGiant @bad_boy_six That's what I call the bitch and block! If you fuck with someone stay and fight! She hit t&#8230;,1
271,@who__CHRISJONES @WhyYouSoShort who tf is chrisis jones. A nigga botta get his ass beat clearly bitch nigga u see real niggas conversatin,1
272,' I will never date a female with another niggah name on her lol . Wtf .,1
273,@KevinTheGee finished the essay and the quiz bitch,1
274,"My honky, my honky. My motherfucking honky.",1
275,*Gigantic RT @Naezus What a big faggot. RT @MIllionDolrBaby: Chubbs bout to Earl.,1
276,RT @BroganWebber: Wiz is garbage to be put in the trash can known as Beyonc&#233; to be put in a dumpster known as the VMAs.,0
277,This knicks game is so retarded right now smh,1
278,Hey @Yankees fans is this a good score ? #lookingformore http://t.co/HLQAl7cIGf,0
279,IM our here filling these hoes jaw side,1
280,RT @thereal_EMandM: Settling down is for pussies,1
281,"@GiftedHussle94 @DallyJackson @TreFreedawg ""babe it's the thought that counts""..""bitch you a thot""",1
282,"RT @jewtanski: When you has a frownie, eats a brownie",0
283,Strong pussy RT @SirRatchettness: Yall think Ciara got good pussy?,1
284,... lol nah hoes we dealt with it so will y'all &#128128; http://t.co/RXTJwwKfHJ,1
285,RT @corey_emanuel: &#128557;&#128557;&#128557;&#128557; RT @ivyleague1908: SHAT!!!!!! RT @DirtRoadDon: When Deltas smell they own pussy http://t.co/3LojKQM8ZG,1
286,He lucky he got a bitch that knows how to cook &amp;&amp; clean &amp; wash everything,1
287,The boy who shot albino deer http://t.co/D4XajBEIb1,0
288,Dudes probably just think eating pussy is sucking on pussy lips &#128530;,1
289,Idk how I have friends I'm so blunt and sarcastic people probably think I'm a raging bitch.,1
290,Lol stop fuckin wit dem birds. RT @Drako_713 Fuck y'all hoes all y'all do is lie,1
291,Don't you hate when someone you care about is dating a hoe but they won't listen to you?,1
292,2 or 3 hoes for everything &#128527;&#128520;&#128526;,1
293,Flappy bird instead of studying? Sounds great.&#128527; &#128555;#flappybirdisruiningmylife,0
294,that would be the stunt in which @JamesOKeefeIII crossed some water dressed as a dead man while his teabagger sheriff friend watched him.,0
295,Is Hillary the &#8216;dodo bird&#8217; candidate? http://t.co/3FyoSi28Jm via @worldnetdaily,0
296,RT @whiteboytatted: Shout out to all you girls that wear those holy cross leggings but got a pussy thats full of sin,1
297,yeah i got soul i was brought up by colored women.,1
298,"&#8220;@OhhNickHarmon: If she's sending you nudes on snap chats but your not one of the 3 guys on her favorites, she a hoe.&#8221;&#128514;&#128514;&#128514;&#128557;",1
299,"LSU got a lot of thirsty, muching, nasty hoes. Football team stay running thru yall meal ticket wanting hoes lol",1
300,Ugh that crazy bitch in The Crucible smh,1
301,@_noWashington he liked that hoe,1
302,"Sometimes ppl stay married cuz it's convenient. When u constantly bitch &amp; complain &amp; sleep in separate rooms, it's time to reevaluate.",1
303,RT @ItsFoodPorn: Oreo Cheesecake Bars http://t.co/RlHHIM98FL,0
304,"@KingHov1313 boi stop! Aint no hoes in the 11th ward...never have been either, thats why nobody knew where our hood was..aint no hoes",1
305,"RT @Tiqqz: @ShinSnipes i woke up with a sore throat, im cold, niggers will be niggers. so terrible",2
306,RT @Jessycaa_Rubi: You swear youre down n the realest n you stay doing little bitch shit like that,1
307,bitch gon bounce when boosie rapping dey probably scared not too,1
308,"Commentators bitch at Bird for ""sliding"" but 2 Port guys do it to Buddy and it's Buddy's fault!?",1
309,Watching #Steelers colts getting blinded by the Steelers uniys look like bunch of bumblebees,0
310,Yankee homeruns make me all tingly.,0
311,"RT @kid_nipsey_400: bitch you not cute , you just photogenic &#128514;",1
312,@Im_Thirst I love Louis CK! Quit bein a faggot and suck that dick,1
313,"@KenSuttling Mr.Cox,the Chase me Charlie of his day.Bend over boy,while I conjugate your A**e",1
314,Tom Brady is the biggest pussy in the NFL by far,1
